SolverIterations,BoxType,StackHeightMultiplier,Gravity,BoxDensity,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
12,Cube,1,6,0.4,0,71.4,0,0.000485
13,Cube,1,6,0.4,0,85.4,0,0.000576
14,Cube,1,6,0.4,0,80.8,0,0.000497
6,FlatBox,1,6,0.4,0,103,0,0.00049
7,FlatBox,1,6,0.4,0,116.8,0,0.000531
8,FlatBox,1,6,0.4,0,100.6,0,0.000476
9,FlatBox,1,6,0.4,0,128.2,0,0.000505
10,FlatBox,1,6,0.4,0,118.6,0,0.000464
11,FlatBox,1,6,0.4,0,142.4,0,0.000501
12,FlatBox,1,6,0.4,0,138,0,0.000479
13,FlatBox,1,6,0.4,0,142.6,0,0.00048
14,FlatBox,1,6,0.4,0,140.2,0,0.000518
6,BigFlatBox,1,6,0.4,0,267.3,0,0.000488
7,BigFlatBox,1,6,0.4,0,366.6,0,0.000415
8,BigFlatBox,1,6,0.4,0,333,0,0.000445
9,BigFlatBox,1,6,0.4,0,346.2,0,0.000348
10,BigFlatBox,1,6,0.4,0,383.9,0,0.000334
11,BigFlatBox,1,6,0.4,0,389.1,0,0.000317
12,BigFlatBox,1,6,0.4,0,451.6,0,0.000347
13,BigFlatBox,1,6,0.4,0,389.8,0,0.000353
14,BigFlatBox,1,6,0.4,0,405,0,0.00034
6,Cube,1.01,6,0.4,0,48.6,0,0.000403
7,Cube,1.01,6,0.4,0,54.4,0,0.000396
8,Cube,1.01,6,0.4,0,64.6,0,0.000386
9,Cube,1.01,6,0.4,0,66.8,0,0.000404
10,Cube,1.01,6,0.4,0,65.8,0,0.000382
11,Cube,1.01,6,0.4,0,71.8,0,0.000428
12,Cube,1.01,6,0.4,0,92.6,0,0.000371
13,Cube,1.01,6,0.4,0,79,0,0.00036
14,Cube,1.01,6,0.4,0,80.6,0,0.000418
6,FlatBox,1.01,6,0.4,0,109.2,0,0.000383
7,FlatBox,1.01,6,0.4,0,96.2,0,0.000346
8,FlatBox,1.01,6,0.4,0,136.6,0,0.000375
9,FlatBox,1.01,6,0.4,0,130,0,0.000395
10,FlatBox,1.01,6,0.4,0,119,0,0.000376
11,FlatBox,1.01,6,0.4,0,137,0,0.000372
12,FlatBox,1.01,6,0.4,0,146.6,0,0.000398
13,FlatBox,1.01,6,0.4,0,176.8,0,0.000349
14,FlatBox,1.01,6,0.4,0,151.8,0,0.000413
6,BigFlatBox,1.01,6,0.4,0,301.4,0,0.00034
7,BigFlatBox,1.01,6,0.4,0,396.8,0,0.000333
8,BigFlatBox,1.01,6,0.4,0,408,0,0.00035
9,BigFlatBox,1.01,6,0.4,0,370.8,0,0.000354
10,BigFlatBox,1.01,6,0.4,0,478.2,0,0.00034
11,BigFlatBox,1.01,6,0.4,0,556.4,0,0.000339
12,BigFlatBox,1.01,6,0.4,0,466.4,0,0.00034
